,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd
364,00:57:25,69,3445,869.57,1219.6986506694077,3.8373109139169213,51.34299049350676,25.74498841661088
366,00:57:45,69,3465,869.57,1287.3636083807633,3.5607100450373075,50.98321756045146,25.690684446836734
368,00:58:05,70,3485,857.14,1337.3293189833162,3.419496680617119,50.241318382545714,25.751979119505137
370,00:58:15,81,3495,740.74,1355.0355375079487,3.3208335040543546,55.616706145633934,29.66969232831953
372,00:58:25,69,3505,869.57,1336.0955230851484,3.310927149356374,58.41086276838357,30.407768844860176
374,00:58:40,66,3520,909.09,1225.4477265478483,3.2815355204798307,53.308551412641904,32.70037146390773
376,00:59:00,63,3540,952.38,1050.2713986203846,3.104616699352449,49.632812336688914,32.611202595026725
378,00:59:25,66,3565,909.09,887.241609978303,2.9489282196658717,49.63281233668892,32.61541960359191
380,00:59:45,67,3585,895.52,763.6789035229746,2.6955704524450135,49.01965946142717,32.68783509603085
382,00:59:55,67,3595,895.52,711.7073197070233,2.4079410855289156,49.01965946142717,32.68783509603085
384,01:00:15,66,3615,909.09,755.9037599435884,2.2490872314845993,49.09253870113511,32.6303003982745
386,01:00:25,64,3625,937.5,899.7419641505136,2.2579937322942065,49.09253870113512,32.68783509603085
388,01:00:40,66,3640,909.09,1118.4608226709936,2.3558019968823958,49.965346740904096,32.87814285434961
390,01:01:05,70,3665,857.14,1375.7424741052778,2.511410238350144,49.01507195147389,33.886255054706965
392,01:01:25,69,3685,869.57,1609.887251788011,2.683285647268873,47.36848976279657,33.8235817386724
394,01:01:50,69,3710,869.57,1792.4313579958846,2.9133873765055256,46.48179390089089,29.231960493366067
396,01:02:05,74,3725,810.81,1871.5590283396054,3.11578514867483,43.14412392889485,29.605662930443238
398,01:02:15,71,3735,845.07,1877.8191767541994,3.3532308065242593,42.798743546310526,28.9808608905806
400,01:02:30,73,3750,821.92,1808.8167736708097,3.5922461667862837,43.53383521129378,29.10281489295972
402,01:02:40,70,3760,857.14,1643.7767426095777,3.818077047748366,44.19014503673129,29.176095750893516
404,01:02:55,66,3775,909.09,1428.1685091516329,3.9825341438759327,44.224062385972275,29.33464755095544
406,01:03:05,63,3785,952.38,1205.7365316637706,4.029435223171485,45.550995027103234,29.75364896160827
408,01:03:25,62,3805,967.74,1001.0861609665901,3.8986464675791126,49.42067856924769,30.056551868171475
410,01:03:35,65,3815,923.08,853.806953034476,3.6319150578019115,51.78623417473026,30.34027326232665
412,01:03:45,67,3825,895.52,782.7456049627647,3.44893925018371,52.47600038462675,30.358238097889735
414,01:03:55,65,3835,923.08,795.6028125773776,3.4785049081741803,52.512788312632445,30.622354779554403
416,01:04:10,62,3850,967.74,867.0761795830118,3.714834557452317,53.52899508620328,30.86967414199012
418,01:04:20,60,3860,1000.0,990.601813671308,4.243628449599489,56.31511559908916,30.97964568775401
420,01:04:35,62,3875,967.74,1104.1404510587658,5.0230376641613494,54.254350055633175,24.420952487734045
422,01:04:55,61,3895,983.61,1204.709286990768,5.957221566187643,48.77152415464732,20.670324780482105
424,01:05:15,68,3915,882.35,1282.98547752528,7.187505832760079,50.028223962650756,20.728379195721818
426,01:05:25,63,3925,952.38,1327.666770367491,8.64213371861115,50.04261708722652,22.63405723547539
428,01:05:35,61,3935,983.61,1309.3035702104735,10.194491876395766,51.00825678020278,24.02488369867156
430,01:06:00,60,3960,1000.0,1255.8596534229473,11.306445570619225,53.539029045955566,24.06074116285953
432,01:06:10,61,3970,983.61,1174.1289495050207,11.68316643903385,56.52550668467452,24.03545370268425
434,01:06:20,62,3980,967.74,1080.7864564468396,10.319613894189633,57.27723397900526,24.83010528715956
436,01:06:35,60,3995,1000.0,992.5953824981684,8.07986842892874,58.26954033434201,24.698521272764996
